device,NVIDIA GB10,driver_api,13000,header,13040,sms,48,minimum,2097152,recommended,2097152
sample_header,mode,bytes,iteration,operation,host_us,kernel_ms,pending_after
sample,idle,2097152,60,release,26.735,0.000,0
sample,idle,2097152,61,create,48.560,0.000,0
sample,idle,2097152,61,map,0.496,0.000,0
sample,idle,2097152,61,access,35.920,0.000,0
sample,idle,2097152,61,unmap,46.511,0.000,0
sample,idle,2097152,61,release,26.416,0.000,0
sample,idle,2097152,62,create,48.736,0.000,0
sample,idle,2097152,62,map,0.512,0.000,0
sample,idle,2097152,62,access,38.191,0.000,0
sample,idle,2097152,62,unmap,68.735,0.000,0
sample,idle,2097152,62,release,68.320,0.000,0
sample,idle,2097152,63,create,48.879,0.000,0
sample,idle,2097152,63,map,0.496,0.000,0
sample,idle,2097152,63,access,35.584,0.000,0
sample,idle,2097152,63,unmap,48.432,0.000,0
sample,idle,2097152,63,release,29.455,0.000,0
sample,idle,2097152,64,create,48.400,0.000,0
sample,idle,2097152,64,map,0.528,0.000,0
sample,idle,2097152,64,access,35.696,0.000,0
sample,idle,2097152,64,unmap,49.552,0.000,0
sample,idle,2097152,64,release,30.832,0.000,0
sample,idle,2097152,65,create,48.671,0.000,0
sample,idle,2097152,65,map,0.464,0.000,0
sample,idle,2097152,65,access,39.936,0.000,0
sample,idle,2097152,65,unmap,107.359,0.000,0
sample,idle,2097152,65,release,34.159,0.000,0
sample,idle,2097152,66,create,48.704,0.000,0
sample,idle,2097152,66,map,0.528,0.000,0
sample,idle,2097152,66,access,77.231,0.000,0
sample,idle,2097152,66,unmap,48.624,0.000,0
sample,idle,2097152,66,release,29.423,0.000,0
sample,idle,2097152,67,create,48.512,0.000,0
sample,idle,2097152,67,map,0.480,0.000,0
sample,idle,2097152,67,access,79.535,0.000,0
sample,idle,2097152,67,unmap,103.039,0.000,0
sample,idle,2097152,67,release,26.720,0.000,0
sample,idle,2097152,68,create,48.943,0.000,0
sample,idle,2097152,68,map,0.528,0.000,0
sample,idle,2097152,68,access,36.496,0.000,0
sample,idle,2097152,68,unmap,47.040,0.000,0
sample,idle,2097152,68,release,26.527,0.000,0
sample,idle,2097152,69,create,48.544,0.000,0
sample,idle,2097152,69,map,0.512,0.000,0
sample,idle,2097152,69,access,36.608,0.000,0
sample,idle,2097152,69,unmap,46.608,0.000,0
sample,idle,2097152,69,release,27.120,0.000,0
sample,idle,2097152,70,create,48.511,0.000,0
sample,idle,2097152,70,map,0.480,0.000,0
sample,idle,2097152,70,access,36.096,0.000,0
sample,idle,2097152,70,unmap,47.280,0.000,0
sample,idle,2097152,70,release,26.623,0.000,0
sample,idle,2097152,71,create,48.480,0.000,0
sample,idle,2097152,71,map,0.512,0.000,0
sample,idle,2097152,71,access,35.808,0.000,0
sample,idle,2097152,71,unmap,46.672,0.000,0
sample,idle,2097152,71,release,26.736,0.000,0
sample,idle,2097152,72,create,48.671,0.000,0
sample,idle,2097152,72,map,0.512,0.000,0
sample,idle,2097152,72,access,36.224,0.000,0
sample,idle,2097152,72,unmap,47.040,0.000,0
sample,idle,2097152,72,release,26.575,0.000,0
sample,idle,2097152,73,create,48.496,0.000,0
sample,idle,2097152,73,map,0.496,0.000,0
sample,idle,2097152,73,access,35.936,0.000,0
sample,idle,2097152,73,unmap,54.240,0.000,0
sample,idle,2097152,73,release,26.608,0.000,0
sample,idle,2097152,74,create,48.879,0.000,0
sample,idle,2097152,74,map,0.496,0.000,0
sample,idle,2097152,74,access,95.279,0.000,0
sample,idle,2097152,74,unmap,114.655,0.000,0
sample,idle,2097152,74,release,26.768,0.000,0
sample,idle,2097152,75,create,48.783,0.000,0
sample,idle,2097152,75,map,0.496,0.000,0
sample,idle,2097152,75,access,38.000,0.000,0
sample,idle,2097152,75,unmap,47.440,0.000,0
sample,idle,2097152,75,release,25.615,0.000,0
sample,idle,2097152,76,create,50.624,0.000,0
sample,idle,2097152,76,map,0.560,0.000,0
sample,idle,2097152,76,access,35.664,0.000,0
sample,idle,2097152,76,unmap,48.560,0.000,0
sample,idle,2097152,76,release,26.896,0.000,0
sample,idle,2097152,77,create,48.367,0.000,0
sample,idle,2097152,77,map,0.512,0.000,0
sample,idle,2097152,77,access,36.960,0.000,0
sample,idle,2097152,77,unmap,79.839,0.000,0
sample,idle,2097152,77,release,26.432,0.000,0
sample,idle,2097152,78,create,48.688,0.000,0
sample,idle,2097152,78,map,0.528,0.000,0
sample,idle,2097152,78,access,36.655,0.000,0
sample,idle,2097152,78,unmap,49.328,0.000,0
sample,idle,2097152,78,release,57.839,0.000,0
sample,idle,2097152,79,create,48.992,0.000,0
sample,idle,2097152,79,map,0.496,0.000,0
sample,idle,2097152,79,access,36.015,0.000,0
sample,idle,2097152,79,unmap,56.448,0.000,0
sample,idle,2097152,79,release,26.640,0.000,0
sample,idle,2097152,80,create,48.703,0.000,0
sample,idle,2097152,80,map,0.544,0.000,0
sample,idle,2097152,80,access,36.096,0.000,0
sample,idle,2097152,80,unmap,46.671,0.000,0
sample,idle,2097152,80,release,26.800,0.000,0
sample,idle,2097152,81,create,48.656,0.000,0
sample,idle,2097152,81,map,0.496,0.000,0
sample,idle,2097152,81,access,38.095,0.000,0
sample,idle,2097152,81,unmap,46.208,0.000,0
sample,idle,2097152,81,release,26.400,0.000,0
sample,idle,2097152,82,create,49.216,0.000,0
sample,idle,2097152,82,map,0.480,0.000,0
sample,idle,2097152,82,access,36.256,0.000,0
sample,idle,2097152,82,unmap,47.343,0.000,0
sample,idle,2097152,82,release,26.480,0.000,0
sample,idle,2097152,83,create,48.640,0.000,0
sample,idle,2097152,83,map,0.480,0.000,0
sample,idle,2097152,83,access,36.031,0.000,0
sample,idle,2097152,83,unmap,46.992,0.000,0
sample,idle,2097152,83,release,26.751,0.000,0
sample,idle,2097152,84,create,48.336,0.000,0
sample,idle,2097152,84,map,0.512,0.000,0
sample,idle,2097152,84,access,36.128,0.000,0
sample,idle,2097152,84,unmap,46.767,0.000,0
sample,idle,2097152,84,release,26.432,0.000,0
sample,idle,2097152,85,create,48.623,0.000,0
sample,idle,2097152,85,map,0.496,0.000,0
sample,idle,2097152,85,access,36.016,0.000,0
sample,idle,2097152,85,unmap,46.096,0.000,0
sample,idle,2097152,85,release,26.399,0.000,0
sample,idle,2097152,86,create,48.640,0.000,0
sample,idle,2097152,86,map,0.480,0.000,0
sample,idle,2097152,86,access,35.648,0.000,0
sample,idle,2097152,86,unmap,48.496,0.000,0
sample,idle,2097152,86,release,26.544,0.000,0
sample,idle,2097152,87,create,48.575,0.000,0
sample,idle,2097152,87,map,0.528,0.000,0
sample,idle,2097152,87,access,35.632,0.000,0
sample,idle,2097152,87,unmap,46.416,0.000,0
sample,idle,2097152,87,release,26.703,0.000,0
sample,idle,2097152,88,create,48.480,0.000,0
sample,idle,2097152,88,map,0.512,0.000,0
sample,idle,2097152,88,access,35.760,0.000,0
sample,idle,2097152,88,unmap,46.656,0.000,0
sample,idle,2097152,88,release,26.752,0.000,0
sample,idle,2097152,89,create,48.911,0.000,0
sample,idle,2097152,89,map,0.480,0.000,0
sample,idle,2097152,89,access,35.632,0.000,0
sample,idle,2097152,89,unmap,46.320,0.000,0
sample,idle,2097152,89,release,26.607,0.000,0
sample,idle,2097152,90,create,48.608,0.000,0
sample,idle,2097152,90,map,0.448,0.000,0
sample,idle,2097152,90,access,35.840,0.000,0
sample,idle,2097152,90,unmap,46.784,0.000,0
sample,idle,2097152,90,release,26.720,0.000,0
sample,idle,2097152,91,create,48.495,0.000,0
sample,idle,2097152,91,map,0.496,0.000,0
sample,idle,2097152,91,access,36.224,0.000,0
sample,idle,2097152,91,unmap,46.784,0.000,0
sample,idle,2097152,91,release,26.479,0.000,0
sample,idle,2097152,92,create,48.368,0.000,0
